"t","delay_precalculation"
1,0.000158503061460894
2,0.00683901784227159
3,0.0366919739153666
4,0.0965807065282208
5,0.18077673443291
6,0.279024986273305
7,0.381676411653489
8,0.481462851564402
9,0.57364313084793
10,0.655579402989758
11,0.726201803152515
12,0.785524190209636
13,0.834253633907436
14,0.873493562269426
15,0.904527873243908
16,0.928671179405256
17,0.947171338183487
18,0.96115209807174
19,0.971585419227173
20,0.979284699248585
21,0.984911748812087
22,0.988991898135135
23,0.991933030169155
24,0.994045581199343
25,0.995561588176029
26,0.99665168003311
27,0.997439514467806
28,0.998013575807825
29,0.998436507092581
30,0.998752286976165
31,0.998991614338612
32,0.99917586043565
33,0.999319913539796
34,0.999434191396256
35,0.999526043792501
36,0.999600717896985
37,0.999662016171789
38,0.999712741752847
39,0.999754998993853
40,0.999790396442662
41,0.999820184644448
42,0.999845350620106
43,0.999866683564067
44,0.999884821347829
45,0.999900284108522
46,0.999913499027358
47,0.999924818989053
48,0.999934536900692
49,0.999942896861337
50,0.999950102995089
51,0.999956326514332
52,0.999961711418009
53,0.999966379121156
54,0.999970432237371
55,0.99997395768341
56,0.999977029237181
57,0.99997970965232
58,0.999982052411351
59,0.99998410318302
60,0.999985901036761
61,0.999987479457071
62,0.999988867192685
63,0.999990088968949
64,0.999991166086661
65,0.999992116926507
66,0.999992957374774
67,0.999993701183331
68,0.999994360274571
69,0.999994945000218
70,0.999995464361343
71,0.999995926195743
72,0.999996337337785
73,0.999996703754986
74,0.999997030664906
75,0.999997322635343
76,0.999997583670354
77,0.999997817284215
78,0.999998026565105
79,0.999998214230021
80,0.999998382672191
81,0.999998534002096
82,0.999998670082955
83,0.999998792561525
84,0.999998902894821
85,0.999999002373348
86,0.999999092141324
87,0.999999173214299
88,0.99999924649453
89,0.999999312784406
90,0.999999372798198
91,0.999999427172336
92,0.999999476474421
93,0.999999521211136
94,0.999999561835187
95,0.999999598751412
96,0.999999632322162
97,0.999999662872029
98,0.999999690692032
99,0.9999997160433
100,0.999999739160336
101,0.999999760253897
102,0.99999977951355
103,0.999999797109934
104,0.999999813196763
105,0.999999827912617
106,0.999999841382508
107,0.999999853719315
108,0.999999865025008
109,0.999999875391787
110,0.999999884903063
111,0.999999893634354
112,0.999999901654076
113,0.999999909024254
114,0.99999991580115
115,0.999999922035842
116,0.999999927774712
117,0.999999933059926
118,0.999999937929828
119,0.999999942419312
120,0.999999946560146
121,0.999999950381277
122,0.99999995390909
123,0.999999957167653
124,0.999999960178933
125,0.99999996296298
126,0.999999965538127
127,0.999999967921122
128,0.999999970127287
